task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
svchost.exe,0,0,0,185522,unknown,medium
svchost.exe,0,0,0,185522,unknown,medium
svchost.exe,0,0,0,185522,unknown,medium
svchost.exe,0,0,0,185522,unknown,medium
NVIDIA Share.exe,0,0,4,140610,low,medium
svchost.exe,0,0,100,185420,unknown,medium
svchost.exe,0,0,81,185522,unknown,medium
svchost.exe,0,0,0,185523,unknown,medium
svchost.exe,0,0,0,185523,unknown,medium
svchost.exe,0,0,0,185523,unknown,medium
svchost.exe,0,0,0,185523,unknown,medium
svchost.exe,0,0,0,185523,unknown,medium
svchost.exe,0,0,0,185523,unknown,medium
svchost.exe,0,0,0,185524,unknown,medium
svchost.exe,0,0,100,185409,unknown,medium
msedgewebview2.exe,0,0,100,140621,low,medium
msedge.exe,0,5,100,2829,low,medium
svchost.exe,0,0,0,185524,unknown,medium
svchost.exe,0,0,0,185524,unknown,medium
OmApSvcBroker.exe,0,0,4,140628,low,medium
NVDisplay.Container.exe,0,0,100,185524,unknown,medium
svchost.exe,0,0,100,185524,unknown,medium
MemCompression,0,9,0,185524,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,1,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,138538,unknown,medium
svchost.exe,0,0,100,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
NortonUI.exe,0,0,9,139923,low,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,185526,unknown,medium
PhoneExperienceHost.exe,0,0,1,139421,low,medium
svchost.exe,0,0,32,185526,unknown,medium
svchost.exe,0,0,0,185526,unknown,medium
svchost.exe,0,0,9,185526,unknown,medium
svchost.exe,0,0,23,185424,unknown,medium
spoolsv.exe,0,0,100,185526,unknown,medium
svchost.exe,0,0,100,185526,unknown,medium
svchost.exe,0,0,100,185526,unknown,medium
wlanext.exe,0,0,0,185526,unknown,medium
svchost.exe,0,0,87,185527,unknown,medium
NortonUI.exe,0,0,0,136923,low,medium
svchost.exe,0,0,100,185527,unknown,medium
OneApp.IGCC.WinService.exe,0,0,1,185527,unknown,medium
AggregatorHost.exe,0,0,100,185413,unknown,medium
svchost.exe,0,0,100,185527,unknown,medium
MpDefenderCoreService.exe,0,0,11,126141,unknown,medium
svchost.exe,0,0,0,185527,unknown,medium
svchost.exe,0,0,1,185527,unknown,medium
MSIService.exe,0,0,0,185528,unknown,medium
jhi_service.exe,0,0,0,185528,unknown,medium
IntelAudioService.exe,0,0,0,185528,unknown,medium
TPMProvisioningService.exe,0,0,0,185528,unknown,medium
MSIAPService.exe,0,0,5,185528,unknown,medium
VoiceControl_Service.exe,0,0,0,185528,unknown,medium
MSI_Central_Service.exe,0,0,0,185528,unknown,medium
MSI_Companion_Service.exe,0,0,0,185529,unknown,medium
Sendevsvc.exe,0,0,8,185529,unknown,medium
NahimicService.exe,0,0,32,185529,unknown,medium
backgroundTaskHost.exe,0,0,0,1061,low,medium
svchost.exe,0,0,0,185529,unknown,medium
svchost.exe,0,0,0,185529,unknown,medium
nvcontainer.exe,0,0,96,185529,unknown,medium
WMIRegistrationService.exe,0,0,0,185529,unknown,medium
msedgewebview2.exe,0,0,100,44665,low,medium
dasHost.exe,0,0,0,140545,unknown,medium
RuntimeBroker.exe,0,0,2,140629,low,medium
SecurityHealthService.exe,0,0,7,185232,unknown,medium
svchost.exe,0,0,0,185423,unknown,medium
svchost.exe,0,0,0,185424,unknown,medium
RuntimeBroker.exe,0,0,1,140592,low,medium
pycharm64.exe,0,0,1,109,low,medium
svchost.exe,0,0,0,185513,unknown,medium
WmiPrvSE.exe,0,0,0,185530,unknown,medium
dllhost.exe,0,0,0,4129,low,medium
WmiPrvSE.exe,0,0,28,185530,unknown,medium
NahimicSvc32.exe,0,0,0,140634,low,medium
WUDFHost.exe,0,0,0,175200,unknown,medium
svchost.exe,0,0,15,185395,unknown,medium
python.exe,0,0,0,14,low,medium
svchost.exe,0,0,0,140548,unknown,medium
WmiPrvSE.exe,0,0,0,185531,unknown,medium
sihost.exe,0,0,7,140636,low,medium
svchost.exe,0,0,1,185425,unknown,medium
svchost.exe,0,0,0,140633,low,medium
MSI.CentralServer.exe,0,0,13,185530,unknown,medium
svchost.exe,0,0,100,185531,unknown,medium
ms-teams.exe,0,0,87,44670,low,medium
TextInputHost.exe,0,0,2,140622,low,medium
conhost.exe,0,0,0,185531,unknown,medium
DataExchangeHost.exe,0,0,0,99837,low,medium
svchost.exe,0,0,0,185531,unknown,medium
wsc_proxy.exe,0,0,0,140551,unknown,medium
msedgewebview2.exe,0,0,17,140631,low,medium
svchost.exe,0,0,0,185403,unknown,medium
OneDrive.exe,0,0,86,140572,low,medium
svchost.exe,0,0,0,135005,unknown,medium
svchost.exe,0,0,0,110248,low,medium
csrss.exe,0,0,7,167983,unknown,medium
svchost.exe,0,0,13,185427,unknown,medium
winlogon.exe,0,0,1,167983,unknown,medium
msedgewebview2.exe,0,0,76,140631,low,medium
RuntimeBroker.exe,0,0,0,40687,low,medium
msedgewebview2.exe,0,0,100,44670,low,medium
backgroundTaskHost.exe,0,0,0,18941,low,medium
svchost.exe,0,0,0,185402,unknown,medium
nahimicNotifSys.exe,0,0,100,140609,low,medium
svchost.exe,0,0,35,185394,unknown,medium
WindowsCopilotRuntimeActions.exe,0,0,0,140612,low,medium
svchost.exe,0,0,0,519,unknown,medium
UserOOBEBroker.exe,0,0,0,101061,low,medium
conhost.exe,0,0,0,140635,low,medium
svchost.exe,0,0,100,140640,low,medium
msedgewebview2.exe,0,0,100,44671,low,medium
AppVShNotify.exe,0,0,0,140071,low,medium
RtkAudUService64.exe,0,0,38,175285,unknown,medium
pycharm64.exe,57,14,100,124,low,medium
svchost.exe,0,0,0,185393,unknown,medium
XboxPcAppFT.exe,0,0,0,138547,low,medium
CurseForge.exe,0,1,76,1605,low,medium
gamingservicesnet.exe,0,0,0,185354,unknown,medium
svchost.exe,0,0,0,4224,unknown,medium
PresentationFontCache.exe,0,0,0,185403,unknown,medium
NisSrv.exe,0,0,0,126144,unknown,medium
NahimicAPO4Volume.exe,0,0,0,140639,low,medium
msedgewebview2.exe,0,0,0,140635,low,medium
nvsphelper64.exe,0,0,4,140625,low,medium
svchost.exe,0,0,0,140641,low,medium
NortonSvc.exe,0,0,100,140554,unknown,medium
backgroundTaskHost.exe,0,0,0,96580,low,medium
VpnSvc.exe,0,0,64,140553,unknown,medium
msedgewebview2.exe,0,0,20,140635,low,medium
taskhostw.exe,0,0,100,140642,low,medium
RuntimeBroker.exe,0,0,0,111921,low,medium
FileSyncHelper.exe,0,0,0,140573,unknown,medium
svchost.exe,0,0,0,140553,unknown,medium
svchost.exe,0,0,0,96997,low,medium
aswidsagent.exe,0,0,100,140540,unknown,medium
backgroundTaskHost.exe,0,0,0,37498,low,medium
svchost.exe,0,0,0,140553,unknown,medium
WindowsPackageManagerServer.exe,0,0,0,20322,low,medium
svchost.exe,0,0,0,140643,low,medium
audiodg.exe,16,0,0,11069,low,medium
msedge.exe,0,0,0,41070,low,medium
ApplicationFrameHost.exe,0,0,0,140601,low,medium
FileCoAuth.exe,0,0,0,113013,low,medium
svchost.exe,0,0,0,182577,unknown,medium
ctfmon.exe,0,0,1,140633,low,medium
conhost.exe,0,0,0,15761,low,medium
SearchFilterHost.exe,0,0,0,194,unknown,medium
java.exe,0,0,100,15761,low,medium
svchost.exe,0,0,13,140641,low,medium
RuntimeBroker.exe,0,0,0,140618,low,medium
NVIDIA Share.exe,0,0,59,140627,low,medium
dllhost.exe,0,0,1,140641,low,medium
aswEngSrv.exe,0,0,100,140543,unknown,medium
SecurityHealthSystray.exe,0,0,0,140624,low,medium
RuntimeBroker.exe,0,0,0,44677,low,medium
RtkAudUService64.exe,0,0,0,140623,low,medium
dllhost.exe,0,0,0,4138,low,medium
RuntimeBroker.exe,0,0,6,140639,low,medium
NVIDIA Web Helper.exe,0,0,52,140641,low,medium
afwServ.exe,0,0,100,140558,unknown,medium
svchost.exe,0,0,0,185241,unknown,medium
MSI.TerminalServer.exe,0,0,0,140644,low,medium
svchost.exe,0,0,0,182586,unknown,medium
msedgewebview2.exe,0,0,19,140639,low,medium
dllhost.exe,0,0,0,96602,low,medium
Widgets.exe,0,0,17,140641,low,medium
backgroundTaskHost.exe,0,0,0,10408,low,medium
explorer.exe,0,0,100,140645,low,medium
svchost.exe,0,0,2,185265,unknown,medium
nllToolsSvc.exe,0,0,100,140558,unknown,medium
StartMenuExperienceHost.exe,0,0,3,140642,low,medium
SearchHost.exe,0,0,25,140642,low,medium
msedge.exe,0,0,1,40664,low,medium
NVDisplay.Container.exe,0,0,100,167983,unknown,medium
NortonUI.exe,0,0,12,139941,low,medium
nvcontainer.exe,0,0,17,140647,low,medium
OfficeClickToRun.exe,0,0,100,140104,unknown,medium
msedge.exe,0,0,100,41073,low,medium
msedgewebview2.exe,0,0,63,38062,low,medium
Nahimic3.exe,0,0,0,140605,low,medium
svchost.exe,0,0,0,140642,low,medium
dllhost.exe,0,0,0,4141,low,medium
SearchFilterHost.exe,0,0,0,244,unknown,medium
RuntimeBroker.exe,0,0,0,7305,low,medium
ms-teams.exe,0,0,67,44664,low,medium
nvcontainer.exe,0,0,100,140648,low,medium
backgroundTaskHost.exe,0,0,0,139439,low,medium
svchost.exe,0,0,100,140648,low,medium
NortonUI.exe,0,0,100,140553,low,medium
igfxCUIServiceN.exe,0,0,0,175201,unknown,medium
AvDump.exe,0,0,0,140563,unknown,medium
CurseForge.exe,0,0,2,208,low,medium
vgtray.exe,0,0,0,140628,low,medium
TranslucentTB.exe,0,0,0,140624,low,medium
svchost.exe,0,0,1,98256,unknown,medium
msedgewebview2.exe,0,0,100,44680,low,medium
Start_HDR.exe,0,0,6,140649,unknown,medium
dwm.exe,0,0,62,167994,unknown,medium
Rainmeter.exe,0,0,0,140624,low,medium
svchost.exe,0,0,0,101676,unknown,medium
fsnotifier.exe,0,0,0,132,low,medium
ShellExperienceHost.exe,0,0,10,111929,low,medium
backgroundTaskHost.exe,0,0,0,44199,low,medium
svchost.exe,0,0,0,44705,unknown,medium
msedge.exe,0,0,100,41076,low,medium
taskhostw.exe,0,0,0,117707,low,medium
msedge.exe,0,0,13,40668,low,medium
CurseForge.exe,0,0,20,1604,low,medium
backgroundTaskHost.exe,0,0,0,110518,low,medium
backgroundTaskHost.exe,0,0,1,7309,low,medium
dllhost.exe,0,0,0,44709,low,medium
svchost.exe,0,0,0,17108,unknown,medium
msedge.exe,0,0,0,1546,low,medium
backgroundTaskHost.exe,0,0,0,106741,low,medium
ShellHost.exe,0,0,0,22438,low,medium
backgroundTaskHost.exe,0,0,0,97371,low,medium
dllhost.exe,0,0,0,4145,low,medium
msedge.exe,0,1,100,41078,low,medium
backgroundTaskHost.exe,0,0,0,99227,low,medium
msedgewebview2.exe,0,0,0,44664,low,medium
svchost.exe,0,0,0,22323,unknown,medium
powershell.exe,0,0,0,126,low,medium
msedge.exe,0,1,2,44,low,medium
backgroundTaskHost.exe,0,0,0,7690,low,medium
msedge.exe,0,0,100,41079,low,medium
svchost.exe,0,0,0,101694,unknown,medium
pycharm64.exe,0,0,4,97,low,medium
backgroundTaskHost.exe,0,0,0,11713,low,medium
Curse.Agent.Host.exe,0,0,100,1612,low,medium
msedgewebview2.exe,0,0,0,44684,low,medium
svchost.exe,0,0,0,134,unknown,medium
msedge.exe,0,0,0,40702,low,medium
NgcIso.exe,0,0,0,191,unknown,medium
conhost.exe,0,0,0,135,low,medium
SearchProtocolHost.exe,0,0,5,258,unknown,medium
pycharm64.exe,0,0,2,126,low,medium
conhost.exe,0,0,0,1613,low,medium
CurseForge.exe,0,0,39,1607,low,medium
CurseForge.exe,0,0,100,1611,low,medium
svchost.exe,0,0,0,202,unknown,medium
OpenConsole.exe,0,0,0,128,low,medium
CurseForge.exe,0,0,100,1623,low,medium
CurseForge.exe,0,0,0,1601,low,medium
CurseForge.exe,0,0,91,1621,low,medium
svchost.exe,0,0,0,193,unknown,medium
CurseForge.exe,0,0,74,1621,low,medium
smartscreen.exe,0,0,0,139,low,medium
pycharm64.exe,0,0,0,99,low,medium
